provincia,id,localidad,cp,id_prov_mstr
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1144,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1145,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1146,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1147,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1148,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1149,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1150,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1151,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1152,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1153,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1154,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1143,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1155,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1157,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1158,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1159,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1160,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1161,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1162,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1163,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1164,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1165,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1166,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1167,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1156,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1142,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1141,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1140,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1115,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1116,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1117,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1118,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1119,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1120,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1121,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1122,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1123,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1124,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1125,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1126,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1127,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1128,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1129,02
Ciudad Autonoma de Buenos Aires,5001,Ciudad Autonoma de Buenos Aires,1130,02
